번호,"﻿분류",키워드,답변,이미지,변환 이미지,레퍼런스,제작 진행 현황,Last edited by
1,혈당과 체지방,"#칼로리 다이어트 
#반쪽짜리 다이어트 
#기존 다이어트
#저칼로리 다이어트","칼로리 기반 다이어트는 잘못된 상식을 토대로 만들어졌어요. 그래서 과정은 힘들고 결과는 유지하기 어려운 반쪽짜리 다이어트랍니다. 같은 칼로리의 두 가지 음식을 두고 같은 음식이라고 하는 것은 말이 되지 않아요. 

칼로리만 보고 음식을 섭취하다가 우리 몸에 전혀 다른 결과를 초래할 수 있어요!",,,,최종,프로덕트 웰다
2,혈당과 체지방,"#칼로리 다이어트의 부작용 
#기존 다이어트 부작용
#저칼로리 다이어트 부작용
#기초대사량 감소","칼로리만 생각하여 무작정 저칼로리 다이어트에 돌입하면 처음엔 살이 빠지는가 싶더라도 결국엔 많은 부작용을 낳게 돼요.

예를 들어, 식사를 해도 금방 다시 허기가 지고 당이 떨어진다는 느낌이 수시로 들어요. 또한 다이어트를 하면 할수록 몸에 힘이 없고, 몸에 힘이 없으니 운동을 하는 것은 더욱 어렵게 됩니다. 그리고 이 과정을 어떻게든 참아내며 살을 빼더라도 다이어트가 끝나고 다시 원래대로 먹게 되면 내 몸의 기초대사량은 이미 떨어질 대로 떨어져 다시 살이 금방 찌게 되죠.",,,,최종,프로덕트 웰다
3,혈당과 체지방,"#혈당 다이어트 
#완전한 다이어트","우리 몸은 같은 칼로리의 음식이더라도 영양성분에 따라 큰 영향을 받을 수 있으며, 이는 우리 몸의 혈당 변화로 즉각적으로 나타나요!

음식의 칼로리뿐 아니라 영양성분까지 고려해서 다이어트를 하면 과정은 힘들지 않고 결과는 유지할 수 있는 완전하고 건강한 다이어트를 할 수 있어요.",,,,최종,프로덕트 웰다
4,혈당과 체지방,"#혈당 다이어트의 장점 
#웰다 장점 ","칼로리가 아닌 영양성분을 고려하여 음식을 섭취할수록 내 몸의 혈당이 안정화되고, 쌓여있는 체지방을 효율적으로 사용할 수 있어요. 

이렇게 대사 유연성이 활성화될수록 허기가 덜 지게 되어 자연스럽게 필요한 만큼만 먹는 식습관을 형성할 수 있어요. 그리고 칼로리에 집착하지 않아도 되니 다양하고 맛있는 음식을 충분히 섭취할 수 있어 기초 대사량이 떨어지지 않고 요요 없이 유지할 수 있는 다이어트를 할 수 있어요. 

혈당을 고려한 다이어트는 체지방 감량뿐 아니라 건강한 몸을 오랜 기간 유지하는 핵심이기도 해요. ",,,,최종,프로덕트 웰다
5,혈당과 체지방,"#혈당 
#혈당이란 
#건강한 혈당
#정상 혈당 수치","혈당이란 혈액 속 녹아 있는 포도당 수치를 말해요! 건강한 사람의 몸은 기본적으로 일정 수준(60mg/dL~100mg/dL)의 혈당 수치를 유지해요.

음식을 섭취하면 포도당이 혈액으로 흡수되고 이로 인해 일정 수준으로 유지되던 혈당 수치에 변화가 올 수 있어요. 혈당 수치에 변화가 자주 일어나면 우리도 모르는 사이에 다양한 부작용이 일어날 수 있어요.",,,,최종,프로덕트 웰다
6,혈당과 체지방,"#포도당과 손상 
#당화반응
#혈당과 당화반응
#혈당과 노화","혈액을 타고 돌아다니는 당과 부딪힌 세포는 손상을 입는데, 이를 당화 반응이라고 해요. 
혈액에 포도당이 더 많을수록 당화 반응이 더욱 많이 일어납니다. 이렇게 당화된 분자는 영구적으로 손상되어요!

당화 반응이 자주 발생할수록 노화를 촉진시켜 겉으로는 피부가 처져 주름이 생기게 하며 속으로는 염증 발생이 증가하여 심혈관 질환, 암, 치매 등 다양한 질환을 일으킬 수 있어요.

따라서 우리 몸은 과잉의 포도당이 혈류에 유입되면 빠르게 처리해 주어야 하며, 그렇지 않고 혈당이 높은 상태로 유지되면 손상이 끊임없이 일어나고 빠른 시간 내의 우리의 생명까지 위협할 수 있습니다. ",,,,최종,프로덕트 웰다
7,혈당과 체지방,"#인슐린 
#인슐린이란
#열쇠 
#혈당 조절 호르몬","우리 몸에는 높아진 혈당을 낮추기 위해 존재하는 아주 중요한 호르몬이 있어요. 바로 췌장에서 분비되는 인슐린이에요. 

인슐린은 세포가 포도당을 받아들일 수 있도록 문을 여는 중요한 열쇠와 같은 역할을 해요. 인슐린 덕분에 혈류로 들어온 당을 몸 속에 저장할 수 있어, 당이 더 이상 체내에 손상을 일으키지 않도록 도와줘요. 

인슐린이 없다면 우리는 살 수 없어요.",,,,최종,프로덕트 웰다
8,혈당과 체지방,"#체지방 생성 원리
#혈당과 체지방
#포도당 저장 공간","혈류로 들어온 포도당이 에너지로 사용되고도 남으면 우선 간과 근육에 저장돼요. 이렇게 저장된 포도당은 더 이상 손상을 일으키지 않아요. 하지만 간과 근육에는 포도당을 저장할 수 있는 공간이 한정되어 있어요.

이렇게 간과 근육의 공간이 다 차면, 우리 몸은 혈류 속 과잉의 포도당을 지방으로 저장하기 시작해요! 지방은 간과 근육과 다르게 이론상 무한대로 당을 저장할 수 있어요. 

이것이 바로 우리가 살이 찌는 이유 중 하나랍니다!",,,,최종,프로덕트 웰다
9,혈당과 체지방,"#남녀노소 혈당관리
#음식 섭취 후 혈당 상승
#혈당은 누구나 오르는 것 
#건강한 사람도 혈당이 오르나요","혈당 관리는 건강한 사람과는 관련이 없다고 생각하지만, 사실은 그렇지 않아요!

나이가 어린 건강한 청소년부터 노인까지, 남녀노소 모두 음식을 섭취할 때마다 혈당이 상승할 수 있어요. 일반적으로 혈당이 상승하면 인슐린이 분비되고 혈류 속 당을 체내 곳곳으로 이동시켜 혈당 수치를 정상으로 되돌려 놓아요. 

이렇게 혈당 수치가 어느 수준 이상 올라갔다가 떨어지는 현상을 혈당 스파이크라고 해요.",,,,최종,프로덕트 웰다
10,혈당 스파이크,"#혈당스파이크 
#혈당 스파이크 기준 
#혈당 스파이크의 문제점 
#혈당 스파이크의 영향","혈당 수치가 어느 수준 이상 급격하게 올라갔다가 떨어지는 현상을 혈당 스파이크라고 해요.

식후 2시간 이내 혈당이 30mg/dL 이상 증가 후 떨어지는 경우를 혈당 스파이크가 발생했다고 봐요. 혈당 스파이크가 발생할 때마다 우리의 몸은 손상을 입어요. 음식을 섭취할 때마다 혈당 스파이크가 발생할 수 있다는 것은 우리도 모르는 사이에 수천, 수만번의 혈당 스파이크를 경험할 수 있다는 뜻이에요. 

혈당 스파이크가 자주 발생하면 단기적으로는 식곤증, 허기짐, 만성피로, 브레인포그, 여드름과 염증 같은 증상부터 장기적으로는 비만, 우울 및 불안증, 다낭성 난소 증후군, 당뇨, 치매, 암과 같은 치명적인 문제가 생길 수 있어요.",,,,최종,프로덕트 웰다
11,혈당과 체지방,"#혈당기준 
#정상 혈당 기준 
#공복혈당 
#공복 혈당 기준
#혈당 최적 범위 ","혈당은 너무 높아도 좋지 않지만 너무 낮아도 좋지 않습니다. 우리 몸은 항상 적절한 혈당 수치를 유지하는 능력을 가지고 있어요!

미국 당뇨병 학회에 따르면 아침 식사 전 혈당 수치 또는 공복 수치가 60~100mg/dL 사이를 유지하였을 때 정상 혈당 범위, 72~85ml/dL 사이를 유지하였을 때 최적 혈당 범위라고 해요.",,,,최종,프로덕트 웰다
12,"탄수화물과 혈당
영양소","#탄수화물 혈당 
#탄수화물과 혈당 관계 
#탄수화물 소화","혈당은 탄수화물과 밀접한 연관성이 있어요!
탄수화물을 섭취하면 입안에서부터 침 속의 효소를 통해 분해가 시작되고 최종적으로 포도당과 과당으로 분해돼요.

분해된 포도당과 과당은 소장 벽에서  흡수되고, 혈액으로 이동해요. 이렇게 혈액 속에 포함된 포도당의 농도를 혈당이라고 합니다.",,,,최종,프로덕트 웰다
13,"탄수화물과 혈당
영양소","#탄수화물과 포도당
#탄수화물
#탄수화물이란 
#광합성 
","탄수화물은 식물에서 나오는 영양소예요.

식물은 광합성이라는 과정을 통해 탄수화물의 가장 기본적인 단위인 포도당을 생성하고, 생성된 포도당을 에너지로 사용하거나 식물의 줄기, 잎, 씨앗, 열매를 만드는 데 사용해요. 

이런 식물의 다양한 형태는 포도당이 녹말, 식이섬유, 과당, 자당 형태로 변환되어 저장되는 거예요. 식이섬유를 제외한 모든 탄수화물은 섭취 시 포도당으로 분해되어 우리의 혈당에 영향을 줘요.",,,,최종,프로덕트 웰다
14,"탄수화물과 혈당
영양소","#복합탄수화물 
#복합 탄수화물이란
#녹말 
#녹말이란
#스타치 
#스타치란","녹말(스타치)은 대부분의 식물의 뿌리 또는 씨앗에 저장되는 영양소예요. 감자, 고구마, 쌀, 밀, 옥수수, 오트밀, 보리, 렌틸콩, 병아리콩 같은 뿌리 또는 씨앗류에 다량의 녹말이 함유되어 있어요. 

녹말은 주로 우리가 흔히 탄수화물이라 부르는 밥, 빵, 면, 떡 같은 음식으로 가공되어 섭취되며, 체내에서 포도당으로 분해되어 혈당을 올려요.",,,,최종,프로덕트 웰다
15,"탄수화물과 혈당
영양소","#식이섬유 
#식이섬유란 
#유용한 식이섬유","식이섬유는 주로 식물의 줄기, 가지, 꽃, 잎에 존재하는 영양소예요.

우리 몸속에는 식이섬유를 분해하는 효소가 없기 때문에 포도당으로 전환되어 에너지로 이용되지 못하고 혈당을 올리지 않아요. 또한 식이섬유는 소화를 도와 장 운동을 활발하게 하고, 식이섬유가 포함된 대부분의 식품에는 미네랄과 비타민 등 우리 몸에 꼭 필요한 성분이 많이 함유되어 우리 몸에 굉장히 유용한 영양성분이에요. 

식이섬유는 채소류, 콩류, 해조류, 견과류 등과 같은 식품에 많이 함유되어 있어요!",,,,최종,프로덕트 웰다
16,"탄수화물과 혈당
영양소","#과당 
#과일 
#과당이란","과당은 우리가 좋아하는 과일에 주로 농축되어 저장되는 영양소예요. 이 과당의 역할은 달콤한 맛으로 동물을 유혹하여 식물 번식에 도움을 주는 거예요.

과당은 혈당에 직접적인 영향을 주지는 않지만, 지방으로 더 빠르게 전환되며 포도당보다 당화 반응을 많이 일으켜요. 따라서 우리가 가장 주의해야 하는 탄수화물은 달달한 과당이에요.

과당은 과일뿐 아니라 달콤한 과자나 탄산음료 같은 간식류를 만들 때에도 많이 사용돼요. ",,,,최종,프로덕트 웰다
17,"탄수화물과 혈당
영양소","#자당 
#설탕 
#포도당과 과당 
#자당이란","자당은 식물이 에너지를 효율적으로 저장하기 위해 과당과 포도당을 결합하여 만드는 영양소예요. 

자당을 섭취하면 포도당과 과당으로 곧바로 분해되어 우리 몸속에서 대사되고, 우리의 혈당에 영향을 줄 수 있어요.

우리가 매일 사용하는 설탕이 바로 자당이랍니다.",,,,최종,프로덕트 웰다
18,"영양성분표와 원재료명
영양소","#탄수화물 종류 
#영양성분표 
#탄수화물 함량 계산법","가공식품에 표시된 영양성분표를 보면 탄수화물, 지방, 단백질의 함유량을 알 수 있어요!

일반적으로 영양성분표에서 탄수화물의 양은 녹말(스타치), 당, 식이섬유의 함유량을 합친 총량이에요. 따라서 전체 탄수화물 함유량에서 식이섬유를 뺀 값이 스타치와 당의 양이고, 여기서 당의 함유량을 뺀 값이 스타치의 함유량입니다.

탄수화물 중 식이섬유를 제외한 스타치와 당은 섭취 시 모두 혈당에 영향을 끼칠 수 있어요.",,,,최종,프로덕트 웰다
19,기타 건강 지식,"#미토콘드리아와 혈당스파이크 
#미토콘드리아 
#에너지 생산 공장","세포 속으로 이동한 포도당의 주요 목표는 에너지로 전환되는 것이에요.

우리 세포 속에는 ‘미토콘드리아’라는 에너지 생산 공장이 있어요. 미토콘드리아는 포도당 또는 지방을 산소와 결합하여 우리가 생활하는데 필요한 에너지를 만들어내요. 우리가 음식을 섭취하면서 유입된 혈류 속 당은 우선적으로 세포 내부로 흡수되어 미토콘드리아에서 에너지로 합성돼요.

하지만 혈당 스파이크가 빈번히 일어나 필요 이상으로 너무 많은 양의 포도당이 지속적으로 전달되면 미토콘드리아에 문제가 발생할 수 있어요. ",,,,최종,프로덕트 웰다
20,기타 건강 지식,"#망가진 미토콘드리아 
#미토콘드리아 과부하","과도한 탄수화물 섭취로 인해 혈당 스파이크가 너무 많이 일어나면 미토콘드리아가 과부하 되어 서서히 망가지게 돼요.

미토콘드리아가 망가지면 우리 몸은 효율적으로 에너지를 만들지 못하고 자유라디칼을 과하게 생산하게 돼요.",,,,최종,프로덕트 웰다
21,기타 건강 지식,"#자유라디칼
#산화스트레스 
#자유라디칼 과잉","공장에서 나오는 매연처럼 미토콘드리아도 에너지를 생성할 때 작은 분자들을 분비하는데, 이 분자를 자유라디칼이라고 해요.

자유라디칼은 불안정한 물질로 체내를 돌아다니며 우리 몸에 손상을 입혀요. 적당한 양의 자유라디칼은 우리 몸에서 충분히 통제가 가능지만, 혈당 스파이크가 반복되어 생산되는 자유라디칼이 너무 많아지면 우리 몸은 더 이상 통제를 못하고 과부하가 걸려 산화 스트레스 상태에 놓이게 되어요.

산화스트레스는 심장병이나 당뇨병, 암, 치매와 같은 질환의 위험을 높이고 인지 기능 저하, 노화의 원인이 될 수 있어요.",,,,최종,프로덕트 웰다
22,대사적 유연성,"#인슐린저항성 
#인슐린 저항성이란","우리가 탄수화물을 섭취하여 혈당이 치솟을 때마다 우리 몸은 혈당 수치를 되돌리기 위해 인슐린을 분비해요. 이러한 상황이 잦을수록 우리 몸은 인슐린 작용에 대한 반응이 둔해지고 인슐린 기능이 제대로 작용하지 않게 돼요.

바로 인슐린 저항성이 생기는 것입니다!

인슐린 저항성이 생긴 우리 몸은 똑같은 양의 포도당을 처리하기 위해 더 많은 인슐린을 분비하게 되며 혈당 조절 능력이 떨어지게 돼요. 또한 인슐린 저항성은 비만, 2형 당뇨병, 심혈관 질환, 불임 등 현대인을 위협하는 다양한 질병들의 근본적인 원인이 됩니다.",,,,최종,프로덕트 웰다
23,대사적 유연성,"#일방통행길 
#인슐린 과잉 
#인슐린 분비 과잉 
#인슐린과 체지방 연소","인슐린은 우리에게 꼭 필요한 호르몬이지만 너무 많이 분비되면 악영향을 줄 수 있어요.

인슐린이 분비되는 동안에는 우리 몸은 일방통행 길이 되어 세포 안으로 포도당이 들어갈 수 있지만, 세포 밖으로는 아무것도 나오지 못하는 상태가 돼요. 다시 말해, 우리 몸에 인슐린 수치가 높아지면 우리가 저장해놓은 체지방은 에너지로 사용하지 못하고 포도당만을 쓸 수 있는 몸이 돼요. 

따라서 우리 몸이 체지방을 잘 태우기 위해서는 인슐린 수치가 낮은 상태로 유지되어야 합니다!",,,,최종,프로덕트 웰다
24,대사적 유연성,"#대사유연성 
#대사 유연성이란
#유연한 대사능력
#지방 연소
#지방 사용","포도당과 지방을 상황에 따라 유연하게 대사할 수 있는(에너지원으로 쓸 수 있는) 능력을 대사 유연성이라고 해요.

대사 유연성이 활성화되어 있는 사람은 섭취한 포도당을 다 사용하면 몸에 쌓인 지방을 연료로 사용할 수 있어 오랜 시간 에너지를 낼 수 있어요. 반대로 대사 유연성이 떨어진 사람들은 금세 에너지가 바닥나고 자주 허기가 지게 됩니다. 

우리 몸에 저장된 체지방을 효율적으로 태우기 위해서는 대사 유연성이 우선적으로 활성화되어야 해요.",,,,최종,프로덕트 웰다
25,대사적 유연성,"#대사 유연성과 인슐린 저항성 
#대사유연성 활성화","대사 유연성은 인슐린 저항성과 밀접한 관계가 있습니다. 우리 몸은 인슐린이 분비되면 일방통행 길이 되기 때문에 인슐린 저항성이 생기면서 자연스럽게 대사 유연성도 떨어지게 돼요.

대사 유연성을 다시 활성화시키려면 인슐린 분비 빈도를 줄여 인슐린 저항성을 개선해야 합니다! 

우리가 혈당 스파이크를 조절하여 혈당 곡선을 완만하게 만들면, 자연스럽게 인슐린 분비도 줄게 돼요. 그렇게 서서히 인슐린 저항성이 개선되면 우리 몸은 녹슬었던 지방을 태우는 기능을 조금씩 다시 활성화시킬 수 있습니다. ",,,,최종,프로덕트 웰다
26,혈당과 체지방,"#체지방 생성을 줄이는 방법 
#혈당 곡선을 완만하게 하는 방법
#혈당 스파이크 조절","체지방은 혈당 스파이크 발생 시 처리하지 못한 잉여 포도당으로부터 생성될 수 있어요.
 
따라서 체지방 생성을 줄이기 위해서는 혈당 스파이크 발생을 줄여야 합니다.

혈당 스파이크 발생을 줄이기 위해서는 혈당을 상승시키는 원인 자체를 차단하는 방법과 혈당 상승 정도를 완화하는 보조적인 방법이 있어요. ",,,,최종,프로덕트 웰다
27,식사 순서,"#식사순서 바꾸기 
#식사 순서 방법","우리가 같은 음식을 어떤 순서로 먹느냐에 따라 혈당 곡선을 완만하게 만들 수 있어요. 

식이섬유, 단백질, 지방을 먼저 섭취하고, 탄수화물을 나중에 섭취하세요. 음식에 따라 식사 순서를 바꿔 먹기 어렵다면 탄수화물을 식이섬유, 단백질, 지방으로 감싸 먹어도 효과가 있을 수 있어요. 

식사 순서 바꾸기를 식후 활동, 식초 섭취 방법과 같이 실천한다면 혈당 스파이크가 발생될 가능성을 더욱 낮출 수 있을 거예요.",https://drive.google.com/file/d/1eJxvcR2t6xpAcoxJQF9DIfTwMIY_ruAy/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/27.jpg,,최종,프로덕트 웰다
28,식사 순서,"#식사순서 원리 
#식사 순서 효과 
#식이섬유 효과 ","식사를 할 때 탄수화물부터 섭취하면 탄수화물은 빠르게 분해되고 혈류로 흡수되어 혈당을 상승시켜요.

반대로, 식이섬유, 단백질, 지방부터 섭취하면 위장에 쌓여 탄수화물이 들어와도 공복일 때만큼 빠르게 소화하지 못합니다. 또한, 식이섬유는 침 속의 효소 작용을 억제하여 탄수화물 분해를 늦추고, 소장에 코팅막을 씌워 소화된 포도당의 흡수를 늦춰줘요. 

따라서 혈당이 오르는 속도를 가장 효과적으로 조절하려면 식이섬유를 가장 먼저 먹고 단백질과 지방, 탄수화물 순서로 먹어주세요!",https://drive.google.com/file/d/1ShQEA2gmJMxVYgFj3UbqXZiFE3PqTdxe/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/28.jpg,https://diabetesjournals.org/care/article/38/7/e98/30914/Food-Order-Has-a-Significant-Impact-on,최종,프로덕트 웰다
29,식사 순서,"#식사순서 예시 
#식사 순서 바꾸기 추천 
#식사 순서 실천 팁 
#식사 순서 집에서","✔식사 순서 바꾸기 실천 팁!_가정에서

⬡ 나물 반찬 먼저 먹기(근대나물, 버섯볶음, 고사리나물, 콩나물 등)
⬡ 생채소를 먹기 좋게 잘라 보관하고 식전 먼저 먹기(당근, 오이, 샐러리, 파프리카 등)
⬡ 채소를 올리브유에 구워 소금, 후추 뿌려 먼저 먹기(버섯, 호박, 가지, 아스파라거스 등)
⬡ 구운 채소에 치즈 곁들여 먼저 먹기
⬡ 샐러드에 견과류 먼저 먹기(호두, 아몬드 등)
⬡ 국, 찌개 건더기 먼저 먹기(미역국, 소고기무국, 된장찌개 등)
⬡ 낫또, 계란 구입해놓고 먼저 먹기",,,,최종,프로덕트 웰다
30,식사 순서,"#식사순서 주의사항 
#식사 순서 바꾸기 주의사항
#채소 먹기 주의사항
#채소 조리 주의사항","✔식사 순서 바꾸기 주의사항

채소를 갈아서 먹거나 푹 쪄 먹으면 채소 속의 식이섬유가 파괴되고 흡수 속도가 빨라져 식사 순서 바꾸기 효과가 적을 수 있어요. 채소는 최대한 원 모습 그대로 보존하여 생으로 먹거나, 굽거나, 살짝 데치거나, 볶아서 드시는 것이 좋습니다!",,,https://www.researchgate.net/publication/276839320_Analysis_and_Evaluation_of_Glycemic_Indices_and_Glycemic_Loads_of_Frequently_Consumed_Carbohydrate-Rich_Snacks_according_to_Variety_and_Cooking_Method,최종,프로덕트 웰다
31,식사 순서,"#식사순서 외식 배달 예시 
#식사 순서 바꾸기 외식 배달 추천  
#식사 순서 외식 배달 실천 팁 
#식사순서 바꾸기 족발 보쌈","✔식사 순서 바꾸기 실천 팁!_족발, 보쌈집

⬡ 족발, 보쌈집
김치, 샐러드, 부추무침, 쌈 → 족발, 보쌈 → 밥, 막국수",,,,최종,프로덕트 웰다
32,식사 순서,#식사 순서 바꾸기 고기집,"✔식사 순서 바꾸기 실천 팁!_고기집

⬡ 고기집
김치, 샐러드, 부추무침, 쌈 → 고기구이, 계란찜, 된장찌개 건더기 → 밥, 냉면, 라면",,,,최종,프로덕트 웰다
33,식사 순서,#식사 순서 바꾸기 야키니쿠집,"✔식사 순서 바꾸기 실천 팁!_야키니쿠집

⬡ 야키니쿠집
샐러드, 해초무침 → 고기구이, 나베 → 라멘, 덮밥",,,,최종,프로덕트 웰다
34,식사 순서,#식사 순서 바꾸기 양식집,"✔식사 순서 바꾸기 실천 팁!_양식집

⬡ 양식집
샐러드 → 스테이크 →  식전빵, 매쉬드포테이토, 파스타, 스프",,,,최종,프로덕트 웰다
35,식사 순서,#식사 순서 바꾸기 횟집,"✔식사 순서 바꾸기 실천 팁!_횟집

⬡ 횟집
샐러드, 쌈 → 회, 생선구이  → 초밥, 콘치즈",,,,최종,프로덕트 웰다
36,식사 순서,#식사 순서 바꾸기 육사시미 육회집,"✔식사 순서 바꾸기 실천 팁!_육사시미, 육회집

⬡ 육사시미, 육회집
샐러드, 쌈 → 육사시미, 육회 → 초밥, 밥 ",,,,최종,프로덕트 웰다
37,식사 순서,#식사 순서 바꾸기 양꼬치집,"✔식사 순서 바꾸기 실천 팁!_양꼬치집

⬡ 양꼬치집
짜사이무침, 마늘꼬치, 어향가지 → 포두부볶음, 토마토계란볶음, 양꼬치, 양갈비 → 온면, 볶음밥",,,,최종,프로덕트 웰다
38,식사 순서,#식사 순서 바꾸기 오리집,"✔식사 순서 바꾸기 실천 팁!_오리집

⬡ 오리집
쌈, 버섯, 샐러드 → 오리구이, 오리탕 → 볶음밥, 감자, 죽 ",,,,최종,프로덕트 웰다
39,식사 순서,#식사 순서 바꾸기 닭집,"✔식사 순서 바꾸기 실천 팁!_닭집

⬡ 닭집
쌈, 버섯, 샐러드 →  닭백숙, 닭한마리, 닭볶음탕, 닭갈비(닭 건더기 위주) → 감자, 고구마, 볶음밥, 면",,,,최종,프로덕트 웰다
40,식사 순서,#식사 순서 바꾸기 샤브샤브 편백찜,"✔식사 순서 바꾸기 실천 팁!_샤브샤브, 편백찜집

⬡ 샤브샤브, 편백찜집
채소, 버섯 → 소고기, 오리고기, 돼지고기 → 칼국수, 우동면, 죽, 볶음밥, 감자",,,,최종,프로덕트 웰다
41,식사 순서,#식사 순서 바꾸기 곱창구이 곱창전골,"✔식사 순서 바꾸기 실천 팁!_곱창구이, 곱창전골집

⬡ 곱창구이, 곱창전골집
상추, 샐러드 →  곱창, 곱창전골 → 볶음밥, 죽",,,,최종,프로덕트 웰다
42,식사 순서,#식사 순서 바꾸기 치킨,"✔식사 순서 바꾸기 실천 팁!_치킨집

⬡ 치킨집
샐러드 → 소금구이, 후라이드 → 떡강정",,,,최종,프로덕트 웰다
43,식사 순서,#식사 순서 바꾸기 돈가스,"✔식사 순서 바꾸기 실천 팁!_돈가스집

⬡ 돈가스집
샐러드 → 돈가스, 생선까스, 치킨까스, 새우튀김  → 밥, 면",,,,최종,프로덕트 웰다
44,식사 순서,#식사 순서 바꾸기 장어구이,"✔식사 순서 바꾸기 실천 팁!_장어구이집

⬡ 장어구이집
샐러드, 쌈, 나물, 생채 → 장어구이 → 덮밥, 면",,,,최종,프로덕트 웰다
45,식사 순서,#식사 순서 바꾸기 생선구이 생선조림,"✔식사 순서 바꾸기 실천 팁!_생선구이, 생선조림집

⬡ 생선구이, 생선조림집
나물반찬, 국 건더기, 김치 → 생선구이, 생선조림 → 밥",,,,최종,프로덕트 웰다
46,식사 순서,#식사 순서 바꾸기 조개구이,"✔식사 순서 바꾸기 실천 팁!_조개구이집

⬡ 조개구이집
샐러드, 국 건더기, 미역국 → 조개구이, 조개찜, 새우구이, 꽃게찜, 조개전골, 조개삼합 → 해물라면, 죽",,,,최종,프로덕트 웰다
47,식사 순서,#식사 순서 바꾸기 두부요리,"✔식사 순서 바꾸기 실천 팁!_두부요리집

⬡ 두부요리 
나물 반찬  → 두부요리(두부구이, 두부전골, 두부찜, 순두부탕)  →  밥, 면",,,,최종,프로덕트 웰다
48,식사 순서,#식사 순서 바꾸기 국밥집,"✔식사 순서 바꾸기 실천 팁!_국밥집

⬡ 국밥집
나물 반찬, 김치  → 국 건더기(고기, 채소)  → 밥, 당면",,,,최종,프로덕트 웰다
49,식사 순서,#식사 순서 바꾸기 샐러드 포케집,"✔식사 순서 바꾸기 실천 팁!_샐러드, 포케집

⬡ 샐러드, 포케집
샐러드 채소 → 고기, 두부 → 그래놀라, 현미밥, 고구마, 메밀면",,,,최종,프로덕트 웰다
50,식사 순서,#식사 순서 마라탕 마라샹궈 훠궈,"✔식사 순서 바꾸기 실천 팁!_마라탕, 마라샹궈, 훠궈집

⬡ 마라탕, 마라샹궈, 훠궈집
채소, 버섯, 곤약말이, 곤약 →  두부, 고기 → 옥수수면, 분모자, 소면, 칼국수면, 중국당면, 감자",,,,최종,프로덕트 웰다
51,식사 순서,#식사 순서 바꾸기 베트남 음식,"✔식사 순서 바꾸기 실천 팁!_베트남 음식집

⬡ 베트남 음식집
공심채볶음, 쌀국수 숙주, 양파무침, 채소 →  고기 → 쌀국수 면",,,,최종,프로덕트 웰다
52,식사 순서,#식사 순서 바꾸기 멕시코 음식,"✔식사 순서 바꾸기 실천 팁!_멕시코 음식집

⬡ 멕시코 음식집(타코보울, 파히타, 멕시칸 샐러드)
멕시칸 샐러드 채소, 타코보울 채소 → 타코보울, 파히타 속 고기 → 나쵸, 또띠아",,,,최종,프로덕트 웰다
53,식사 순서,"#식사순서 섭취 간격 
#식사 순서 섭취 비율 
#식사 순서 효과 지속 시간","식사 순서 효과는 식이섬유 및 단백질, 지방을 섭취한 직후부터 최대 90분까지 지속될 수 있어요. 

또한 탄수화물과 다른 식품군(식이섬유, 단백질, 지방)의 비율은 1:1로 구성하여 섭취하는 것을 추천드려요(g 기준).  

따라서 식사 순서 효과를 보기 위해서는 비슷한 비율의 식이섬유 및 단백질, 지방 섭취 직후 탄수화물을 멈추지 않고 먹어도 혈당 곡선을 완만하게 할 수 있어요. 탄수화물을 가능하면 가장 마지막에 먹는 것이 좋지만 번갈아 가면서 먹어도 효과가 있답니다~!",,,,최종,프로덕트 웰다
