번호,"﻿분류",키워드,답변,이미지,변환 이미지,레퍼런스,제작 진행 현황,Last edited by
139,금주,"#술 저혈당 
#음주 저혈당
#알코올 저혈당 
#공복 상태 음주","술을 마시면 저혈당이 발생할 수 있어요. 

우리가 술을 마시면 간은 알코올 해독을 우선적으로 처리해요. 알코올을 해독하는 동안 혈당 공급이 느려져 저혈당이 발생할 수 있어요. 특히 공복 상태에서 술을 마시면 저혈당이 발생할 가능성이 높아져요.

그러나 술을 마신 뒤 혈당이 내려갔다고 해서 혈당이 안정화되었다고 생각하면 안 돼요. 간은 알코올 해독을 우선적으로 처리할 뿐, 혈당 반응과는 별개로 지방 연소 상태를 방해하여 체지방 감량을 늦출 수 있어요.",,,,최종,프로덕트 웰다
140,금주,"#음주 폭식 
#음주 허기짐 
#음주 포만감","술을 마시면 허기짐과 폭식을 유발할 수 있어요.

우리가 술을 마시면 혈당 공급이 느려져 혈당이 떨어지게 됩니다. 이렇게 되면 우리는 허기지고 당 떨어짐을 느껴 계속해서 음식을 갈망하게 되어요. 술을 마시고 집에 돌아와서 계속해서 음식을 찾게 된다면, 술로 인한 혈당 변화 때문일 수 있어요. 또한 술은 포만감을 느끼게 해주는 기능을 억제하여 폭식을 유발할 수 있어요.",,,,최종,프로덕트 웰다
141,혈당 스파이크,"#혈당스파이크 예방법 
#혈당 스파이크 예방 방법","다양한 음식을 먹으면서 혈당 스파이크를 예방할 수 있어요.

식사 전 식초를 섭취하고, 식사 중에는 식사 순서를 바꿔 먹고, 식사 후 식후 활동을 병행하면 우리는 먹고 싶은 음식을 항상 양보하지 않아도 혈당 스파이크를 예방하고 체지방 생성을 줄일 수 있어요.",https://drive.google.com/file/d/1qhai-CJI1Vq2L1H0aAhh7ugjzZHTVK7L/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/141.jpg,,최종,프로덕트 웰다
142,기타 건강 지식,"#혈당 하락
#혈당 하강
#혈당 안정화
#정상 혈당 유지","오랜 시간 혈당이 높은 상태로 유지되면 우리 몸은 손상을 입을 수 있어요. 과잉의 포도당이 혈류에 유입되어 혈당 수치가 높아지면 우리는 빠르게 혈당 수치를 안정화해야 해요. 

하지만 상승한 혈당 수치를 안정화하는 것보다 더욱 중요한 것이 있어요. 우리 몸의 혈당 상승을 최소화하려는 노력이 선행되어야 해요. 혈당이 혈당 스파이크 발생 없이 완만하게 상승하면 우리 몸은 수월하게 혈당 수치를 안정화할 수 있어요.  ",,,,최종,프로덕트 웰다
143,기타 건강 지식,"#혈당 상승 개인차 
#혈당 상승 시간 폭 개인차
#혈당 상승 차이 요인","음식 섭취 후 혈당 상승 속도와 상승 폭은 여러 가지 요인에 의해 영향을 받아요.

식사 구성, 식사의 양, 인슐린 민감도, 운동 여부, 개인의 건강 상태, 공복 상태 등에 따라 혈당 상승 속도와 상승 폭이 다를 수 있습니다.",,,,최종,프로덕트 웰다
144,기타 건강지식,"#저혈당 대처법 
#어지러움 
#식은 땀 
#오한 
#떨림","혈당이 기준보다 낮고 어지럼증, 식은 땀, 오한 떨림의 증상이 나타난다면 저혈당이 발생했을 가능성이 있어요. 당황하지 마시고 아래의 조치를 따라 해 보세요.

① 잠시 휴식을 취해 주세요.
② 휴식을 취해도 증상이 완화되지 않는다면 꿀, 주스, 사탕과 같은 탄수화물과 약간의 단백질을 섭취해 보세요.

아직 내 몸이 지방을 에너지로 쓰는 것에 익숙하지 않아 발생하는 현상일 수 있습니다. 조치를 취한 후에도 증상이 지속된다면 의료진과 상담을 통해 적절한 조치를 취해주세요.",,,,최종,프로덕트 웰다
145,사용방법,"#연속혈당측정기 고혈당
#리브레 고혈당
#100mg/dL 이상
#고혈당 증상
","일반적으로 공복 혈당이 60~ 100mg/dL 을 건강한 혈당이라고 해요. 하지만 연속혈당측정기로 측정한 혈당이 100mg/dL가 넘는다고 해서 너무 걱정하지 마세요! 연속혈당측정기는 실제 혈당 수치와 일부 차이가 있을 수 있으며, 일시적인 오차일 수도 있어요.

실제로 고혈당이 발생하면 잦은 배뇨, 갈증, 피로감이 나타나요. 따라서 고혈당 증상을 느끼지 않으신다면 크게 걱정하지 않으셔도 돼요.",,,,최종,프로덕트 웰다
146,사용방법,"#당화혈색소 
#당화 혈색소 
#정상 당화 혈색소","당화 혈색소는 최근 2~3개월 동안 혈액 내에는 혈색소가 어느 정도 당화되었나를 보는 지표예요. 당화 혈색소가 높다는 것은 혈액 내에서 당화 반응이 많이 발생한다는 것이에요!

연속혈당측정기로 측정한 당화혈색소가 높게 나왔다고 해서 너무 걱정하지마세요. 연속혈당측정기로 측정한 당화혈색소는 오차가 있을 수 있으니 정확한 당화혈색소가 궁금하시다면 진단용 검사를 해보시는 것을 권장드려요.",,,,최종,프로덕트 웰다
147,기타 건강 지식,"#질병 혈당 변화 
#아플 때 혈당 변화 
#약 혈당 변화 
#아플 때 혈당 관리","감기나, 발열, 감염등 몸이 아프면 스트레스 호르몬 작용으로 혈당이 상승할 수 있어요. 또한, 약물 복용은 혈당에 영향을 미칠 수 있어요. 혈당이 소폭 상승되어도 정상이오니 너무 걱정하지 마세요!",,,,최종,프로덕트 웰다
148,기타 건강 지식,"#반응성 저혈당 
#혈당 스파이크 후 저혈당 
#탄수화물 섭취 후 저혈당","반응성 저혈당은 혈당이 급격하게 상승했을 때 상승한 혈당을 낮추기 위해 과도한 양의 인슐린이 분비되어 혈당이 일시적으로 정상 수준 이하로 떨어지는 현상을 말해요.

일반적으로 탄수화물을 과량으로 섭취했을 때 발생할 수 있으며, 반응성 저혈당은 식곤증, 허기짐, 피로감, 무기력함과 같은 증상으로 나타날 수 있어요. 

반응성 저혈당을 예방하기 위해서는 급격한 혈당 상승을 최소화하는 것이 중요합니다.",,,,최종,프로덕트 웰다
149,기타 건강 지식,"#새벽현상
#아침 혈당 상승
#아침 공복 혈당","이른 아침에 혈당 수준이 상승하는 현상을 새벽현상이라고 해요. 

새벽현상은 우리 몸의 호르몬 변화로 인해 혈당 수치를 일시적으로 상승시켜 발생합니다. 이러한 현상은 우리 몸이 기상 후 활동을 원활히 할 수 있도록 준비하고 있음을 나타내요.

따라서, 건강한 성인의 경우 새벽현상은 자연스러운 현상이니, 혈당이 올랐다고 놀라지 않으셔도 되어요. 우리 몸이 하루를 시작할 준비를 하고 있을 수 있어요.  ",,,,최종,프로덕트 웰다
150,사용방법,"#샤워 혈당 
#온수 샤워 혈당 상승 
#샤워 후 혈당 변화",따뜻한 물로 샤워를 하면 우리 몸의 급격한 온도 변화가 생겨 일시적으로 혈당 수준을 높일 수도 있어요.  건강한 사람의 경우 문제가 되지 않으니 걱정하지 않으셔도 됩니다 :),,,,최종,프로덕트 웰다
151,추천 식품,"#카페인 혈당 영향
#카페인 혈당",카페인은 스트레스 호르몬을 분비시켜 혈당을 일시적으로 상승시킬 수 있어요. 하지만 혈당 스파이크를 발생시키는 수준은 아니니 건강한 성인이라면 걱정하지 않으셔도 되어요.,,,,최종,프로덕트 웰다
152,기타 건강 지식,"#월경 생리 혈당
#생리 중 혈당","생리주기에 따라 분비되는 호르몬의 영향으로 혈당 변화가 있을 수 있어요. 

호르몬 변화로 인해 생리 전과 생리 중에 혈당이 상승하는 경향이 있어요. 건강한 성인이라면, 혈당 스파이크를 발생시키는 수준은 아니니 걱정하지 않으셔도 되어요. ",,,,최종,프로덕트 웰다
153,기타 건강 지식,"#식곤증 
#식후 졸음","식사 후 발생한 혈당 스파이크는 식곤증을 유발할 수 있어요.

우리 몸은 식사 후 혈당이 급격하게 올라가면, 상승한 혈당을 낮추기 위해 과도한 인슐린을 분비해요. 이로 인해 우리 몸의 혈당이 급격하게 떨어지면 에너지 수준이 일시적으로 저하되어 식사 후 졸음이나 피로감으로 나타날 수 있어요.",,,,최종,프로덕트 웰다
154,기타 건강 지식,"#당 떨어짐 
#허기짐 
#허기지는 증상","식사 후 발생한 혈당 스파이크로 인해 당 떨어지고 쉽게 허기지는 증상이 생길 수 있어요.

우리 몸은 식사 후 혈당이 급격하게 올라가면, 상승한 혈당을 낮추기 위해 과도한 인슐린을 분비해요. 이러한 상황이 잦을수록 우리 몸은 인슐린 저항성이 생기고 자연스럽게 대사 유연성도 떨어지게 되어요. 대사 유연성이 떨어지면 내 몸에 쌓인 지방을 연료로 유연하게 사용할 수 없어 금세 에너지가 바닥나고 자주 허기가 지게 되어요.

따라서 방금 식사를 했는데도 금방 당이 떨어지고 허기가 진다면 떨어진 대사 유연성을 의심해 볼 수 있어요.",,,,최종,프로덕트 웰다
155,기타 건강 지식,"#만성 피로 
#만성피로","혈당 스파이크는 만성 피로를 유발할 수 있어요.

우리가 음식을 섭취하여 유입된 혈류 속 당은 우선적으로 세포 내부로 흡수되어 에너지 생산 공장에서 에너지로 합성돼요. 식사 후 혈당 스파이크가 발생하면 세포 속 에너지 생산 공장이 과부하 되어 서서히 망가지게 됩니다. 과부하 된 에너지 생산 공장은 우리 몸에서 필요한 에너지를 효율적으로 만들지 못하게 되어, 결과적으로 우리는 몸이 피로를 느끼게 됩니다. 이러한 과정이 반복되면 만성 피로가 발생할 수 있어요.",,,,최종,프로덕트 웰다
156,기타 건강 지식,"#편두통
#두통","조절되지 않은 혈당 수치는 편두통을 유발할 수 있어요.

연구 결과에 따르면, 인슐린 저항성이 있는 사람들에게서 편두통 발생률이 높았어요. 특히 인슐린 저항성이 더 심한 사람일수록 두통의 정도가 더 높았으며, 여성에게서 인슐린 저항성과 편두통 발생 간의 관련성이 더욱 두드러지게 관찰되었어요.",,,,최종,프로덕트 웰다
157,기타 건강 지식,"#여드름 
#피부 염증 증상 
#피부질환 ","조절되지 않은 혈당 수치는 피부 염증 질환을 유발할 수 있어요.

연구에 따르면, 잦은 혈당 스파이크의 발생이 인슐린 저항성을 유발하고 이는 피부 염증 질환의 발생 가능성을 높일 수 있다는 결과가 관찰되었어요. 실제로, 여드름 환자 대상으로 혈당 곡선을 완만하게 하는 식단을 제공하였을 때 여드름의 수와 중증도가 개선되는 연구 결과가 관찰되었어요.",,,https://pubmed.ncbi.nlm.nih.gov/17616769/,최종,프로덕트 웰다
158,기타 건강 지식,"#다낭성 난소 증후군 
#생리 불순 
#호르몬 불균형 
#불임","조절되지 않은 혈당 수치는 호르몬 불균형 증상을 유발할 수 있어요.

잦은 혈당 스파이크 발생이 인슐린 저항성을 유발하고 이는 성호르몬 불균형 일으킬 수 있어요. 연구에 따르면 인슐린 저항성은 다낭성 난소 증후군, 생리 불순, 불임과 밀접한 관련이 있다고 관찰되었어요.",,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5904600/https://www.cdc.gov/diabetes/basics/pcos.html,최종,프로덕트 웰다
159,기타 건강 지식,"#수면의 질 저하 
#수면 저하 
#수면 장애","조절되지 않은 혈당 수치는 수면의 질에 영향을 줄 수 있어요.

혈당이 높은 채로 잠에 들거나, 혈당 스파이크 직 후 잠을 자는 것은 수면의 질에 영향을 줄 수 있어요.
연구에 따르면, 높은 혈당 수치는 수면 시간 감소, 수면 중 무호흡증을 발생시킬 가능성이 높은 것으로 관찰되었어요.",,,,최종,프로덕트 웰다
160,기타 건강 지식,"#불안 
#우울 증상","우울감, 불안감은 불안정한 혈당 수치와 관련이 있을 수 있어요.

불안정한 혈당 수치는 불안, 초조함, 에너지 저하를 유발하여 우울증과 유사한 증상이 나타날 수 있어요. 아직 정확한 발병 기전은 밝혀지지 않았지만, 혈당이 조절되지 않는 당뇨병 환자의 경우 당뇨병이 없는 환자보다 우울증 발병 확률이 2배 이상 높았으며, 우울증이 있는 여성 중 당뇨병 환자에게서 불안과 우울을 더 크게 느끼는 것으로 연구에서 관찰되었어요.",,,,최종,프로덕트 웰다
161,기타 건강 지식,"#브레인포그
#브레인 포그 증상","브레인포그는 머리에 안개가 낀 것처럼 멍한 느낌이 지속되어 사고력과 집중력, 기억력이 저하되는 증상을 말해요.

우리 몸은 식사 후 혈당이 급격하게 올라가면, 상승한 혈당을 낮추기 위해 과도한 인슐린을 분비해요. 이로 인해 우리 몸의 혈당이 급격하게 떨어지면 에너지 수준이 일시적으로 저하되어 식사 후 멍한 증상, 브레인 포그로 나타날 수 있어요.",,,,최종,프로덕트 웰다
162,영양소,"#단백질 
#단백질 다양하게 섭취 
#단백질 역할","단백질은 근육이나 호르몬, 세포를 만드는 데 필요한 아미노산이 들어있는 필수 영양소에요.

육류뿐 아니라, 해산물, 그리고 식물성 식품에도 단백질이 풍부하게 함유되어 있습니다. 단백질은 분명 중요한 영양소지만, 필요 이상으로 섭취하게 되면 체내에서 포도당으로 바뀌고 인슐린에도 영향을 줄 수 있는데요! 많은 사람들은 이런 사실을 모른 채 고단백 음식만 과하게 선호하고 섭취하는 경향이 있어요.

대부분의 단백질이 포함된 음식에는 좋은 지방도 함께 함유되어 있으니 단백질 함량이 높은 음식만 고집하지 말고 다양하게 섭취하는 것을 추천드려요 :)",,,,최종,프로덕트 웰다
163,영양소,"#단백질 섭취량
#단백질 얼마나","단백질은 근육을 구성하는 성분 중의 하나로 근육을 합성하고 회복하는 데 중요한 역할을 해요. 

일반적인 활동량을 가진 성인의 경우에는 하루에 1.2~1.5g/kg의 단백질을 섭취하는 것을 권장하며, 운동선수급 또는 대회 출전급의 경우에는 하루에 1.2~2.0g/kg의 단백질을 섭취하는 것을 권장 드려요. 

단, 신장질환이나 통풍질환이 있는 경우, 개인의 상태를 고려하여 단백질 섭취량을 조절해야 합니다.",,,,최종,프로덕트 웰다
164,영양소,"#식물성 단백질
#비건
","✔식물성 단백질 리스트

⬡ 두부
⬡ 퀴노아
⬡ 헴프씨드
⬡ 해바라기씨
⬡ 호박씨
⬡ 치아씨드
⬡ 견과류
⬡ 버섯(팽이버섯, 표고버섯, 느타리버섯, 목이버섯, 새송이버섯)
⬡ 아몬드 버터
⬡ 후무스
⬡ 아마씨",,,https://www.drberg.com/blog/top-vegan-plant-based-protein-sources,최종,프로덕트 웰다
165,영양소,#동물성 식물성 단백질 #동물성단백질 #식물성단백질 #완전 단백질,"단백질을 섭취하실 때 동물성, 식물성을 굳이 따지지 않고 섭취해도 괜찮아요!

특히 동물성 단백질은 완전 단백질이기 때문에 동물성 단백질을 섭취하는 것만으로도 필수 아미노산을 충족할 수 있어요.

만약 식물성 단백질만 드시는 채식주의자라면 다양한 식물성 단백질 식품을 조합하여 섭취해 주세요!

웰다가 추천하는 단백질 식품이 궁금하시다면 추가 문의해 주세요 🙂 웰다 추천 단백질 리스트를 알려드릴게요!",,,,최종,프로덕트 웰다
166,영양소,"#지방 #지방의 역할 ","지방은 호르몬과 세포막을 만들고 지용성 비타민 흡수를 돕는 필수 영양소에요. 

대부분 사람들은 포화지방이 심혈관 질환을 일으키는 것으로 알고 피하는 경향이 있지만 사실은 그렇지 않아요~! 좋은 지방은 혈당을 안정화 시켜주고 포만감을 높이는 역할을 하여 간헐적 단식과 다이어트를 도와줄 거예요.",,,,최종,프로덕트 웰다
167,영양소,"#수용성 식이섬유 
#불용성 식이섬유","식이섬유는 수용성, 불용성으로 나뉘며 이에 따라 효능이 조금씩 다를 수 있어요.

그러나 전반적으로 식이섬유는 수용성, 불용성에 상관없이 혈당 상승 완화 효과 외에도 포만감을 유발하고 소화를 촉진하여 다이어트 과정에 직·간접적인 도움을 줄 수 있어요. 따라서, 수용성과 불용성을 구분하지 말고 다양한 채소에서 충분한 식이섬유를 섭취하는 것이 중요해요.",,,https://www.cdc.gov/diabetes/library/features/role-of-fiber.html,최종,프로덕트 웰다
168,영양성분표와 원재료명,"#영양성분표 확인 
#영양성분 
#영양정보 
#원재료 확인","✔영양성분표/원재료 확인 방법

가공식품 선택 시 영양성분표와 원재료를 확인하세요.
영양성분표를 확인하여 스타치(녹말)와 당류의 양을 고려해 제품을 선택하는 것이 좋아요. 만약, 당이 0g이라면 원재료를 확인해 주세요.

① 1회 제공량 확인하기
- 총 영양성분 = 영양성분 x 총 내용량/1회 제공량

② 영양정보 확인하기
- 총 탄수화물의 양 = 스타치 + 당류 + 식이섬유
- 탄수화물 중 식이섬유를 제외한 당류는 섭취 시 혈당에 영향을 줄 수 있어요. 

③ 원재료 확인하기
-  혈당을 올리진 않지만 우리 몸에 영향을 주는 첨가물을 확인하세요.",https://drive.google.com/file/d/17GRSZybA_4zs4nGxgL6yr5pSySlmHc9w/view?usp=drive_link,https://wellcheck-diet-prod.s3.ap-northeast-2.amazonaws.com/coach-answer-guide/168.jpg,,최종,프로덕트 웰다
169,영양성분표와 원재료명,"#무가당
#무가당 주스","식품에 표기된 무가당 표시는 인위적으로 당류를 첨가하지 않았다는 의미일 뿐 당분이 없다는 것이 아니에요!

무가당 주스를 보면, 과일 자체에 이미 상당량의 당분이 함유되어 있어요. 특히 액체 형태인 주스는 흡수가 빨라 혈당을 급격히 올릴 수 있어요. 따라서, 무가당이라고 해서 안심하고 드셔서는 안돼요. 영양성분표와 원재료를 꼭 확인하여 섭취해 주세요!",,,,최종,프로덕트 웰다
170,영양성분표와 원재료명,"#좋은 재료의 기준 
#좋은 재료 기준 
#식재료 선택","똑같은 재료라도 생산, 보관, 가공 방식에 따라 품질의 차이가 있을 수 있어요. 웰다는 자연 그대로에 가깝고 가공이 적은 음식을 추천드려요 :)

예를 들어, 육류는 목초와 같은 좋은 사료를 먹고 방목하여 자란 고기를 추천하고, 채소는 땅에서 농약 없이 자란 신선한 유기농 채소를 권장 드려요. 오일은 열처리 없이 저온으로 압착된 엑스트라 버진 오일이 좋아요. 

따라서, 웰다가 추천하는 재료 중 자연 그대로에 가까운 재료를 선택하여 건강한 식사를 구성해 보세요!",,,,최종,프로덕트 웰다
171,영양성분표와 원재료명,"#비정제 설탕 
#천연 설탕 원당 꿀 흑설탕","천연 설탕, 원당, 꿀, 흑설탕 등은 모두 건강해 보이지만 그렇지 않은 설탕의 숨겨진 이름일 뿐이에요.

천연 설탕, 원당, 꿀, 흑설탕은 모두 설탕과 같은 성분인 포도당, 과당으로 구성되어 있어 혈당에 영향을 줄 수 있어요. 더 이상 건강한 설탕이라는 단어에 속지 마세요.",,,,최종,프로덕트 웰다
172,영양성분표와 원재료명,"#스타치 
#스타치 원재료 
#녹말 원재료","스타치(녹말) 성분의 원재료는 식감, 형태, 부피, 응집 방지, 보존 기간 등 다양한 이유로 가공식품에 포함돼요!

스타치 원재료는 분말 형태로 사용되어 포도당으로 분해가 빠르고 혈당과 인슐린에 큰 영향을 줄 수 있어요.

많이 사용되는 스타치 원재료 예시로는 OO 전분, OO 분말, OO 가루, OO 플레이크, OO 덱스트린이 있어요. ",,,,최종,프로덕트 웰다
173,영양성분표와 원재료명,"#말토덱스트린 ","말토덱스트린은 대부분의 과자, 간식류, 가공식품부터 프로틴 파우더, 식사 대용 쉐이크 드레싱 등에 다양하게 사용돼요. 

말토덱스트린은 많은 공업적 가공을 거쳐 만들어진 스타치이며, 혈당 반응이 높고 장내 미생물 건강에도 좋지 않아요. 값싼 가격으로 인해 많은 가공식품에 말토덱스트린이 함유되어 있으니, 가공식품 섭취 시 영양정보와 원재료를 확인하고 섭취해 주세요!",,,,최종,프로덕트 웰다
174,영양성분표와 원재료명,"#당류 
#당류 원재료 
#당 원재료","당 성분의 원재료는 기본적으로 단 맛을 내기 위해 가공식품에 포함돼요!

설탕에는 포도당과 과당이 포함되어 있어 혈당과 인슐린에 영향을 주고 체지방, 지방간 생성에도 직접적으로 가담할 수 있어요.

많이 사용되는 당류 원재료 예시로는 OO 설탕,   OO 당, OO 시럽, OO 농축액, OO 과즙, OO 토스,  OO 오스 등이 있어요. ",,,,최종,프로덕트 웰다
175,영양성분표와 원재료명,"#숨겨진 설탕 
#숨겨진 당류 
#설탕 다른 이름","식품 원재료 라벨에 숨겨진 당류를 주의하세요.

✔당류 원재료 리스트!

- OO 설탕, OO당
감자당, 결정 과당, 맥아당, 사탕수수설탕, 아이싱 설탕, 액상 과당, 올리고당, 유당, 자당, 코코넛 설탕, 포도당, 흑설탕

- OO 시럽, OO 농축액, OO 과즙
과일 주스, 메이플 시럽, 사과 농축액, 사탕수수 시럽, 아가베 시럽, 으깬 과일, 캐러멜 시럽, 콘시럽, 타피오카 시럽, 파인애플 과즙, 헤이즐넛 시럽, 현미 시럽

- OO토스, OO오스
글루코오스, 덱스트로오스, 락토오스, 말토오스, 자일로오스, 프락토오스

- 기타
꿀, 당밀, 맥아물엿, 수카나트, 슈가 파우더, 엿기름, 옥수수 감미료, 조청 ",,,,최종,프로덕트 웰다
176,영양성분표와 원재료명,"#먹어도 되나요?
#식품 선택
#식품 혈당 반응","일반적으로 탄수화물 중 식이섬유를 제외한 스타치(녹말)와 당류는 섭취 시 혈당에 영향을 줄 수 있어요. 가공식품의 경우 영양성분표와 원재료를 확인하고, 비가공식품의 경우 영양성분을 검색해 보고 스타치(녹말)와 당류의 함량을 고려하여 섭취하는 것이 좋습니다!

음식에 대한 혈당 반응은 개인마다 다를 수 있어요. 소량 섭취해 보고 개인의 혈당 변동을 확인하고 드셔보세요!",,,,최종,프로덕트 웰다
177,영양성분표와 원재료명,"#인공 감미료 
#제로 무당
#제로 칼로리 
#제로 슈가 
#대체당","설탕 대신 인공감미료를 사용한 제로 슈가 제품이 많이 판매되고 있어요. 

인공감미료는 혈당을 높이지 않지만, 인슐린 분비를 촉진시켜 혈당을 낮출 수 있으며, 이로 인해 허기짐, 당 떨어짐을 유발할 수 있어요. 또한 인슐린 저항성을 개선하는 데 방해가 될 수 있어 주의가 필요해요.

게다가, 장기간 섭취할 경우 인체에 미치는 영향은 추가적인 연구가 필요한 상황이에요. 따라서, 인공감미료는 가급적 피해주시는 게 좋아요. 

웰다는 가능한 자연 그대로에 가까운 재료를 추천드려요! 하지만, 가끔 단 음식이 먹고 싶다면 부작용이 적은 감미료를 선택하여 적정량만을 섭취해 주세요.",,,,최종,프로덕트 웰다
178,"영양성분표와 원재료명
추천 식품","#부작용이 적은 감미료 
#알룰로스 스테비아  
#나한과 에리스리톨 
#감미료 추천 
#추천 대체당
","✔ 부작용이 적은 대체당
 ⬡ 알룰로스
 ⬡ 나한과
 ⬡ 순수 스테비아
⬡ 에리스리톨

✔ 주의사항
부작용이 적은 대체당이라도 단 맛 자체에 중독성이 있으니, 단 맛이 너무 당길 때만 설탕 대신 사용해 보세요! 또한, 과량 섭취 시 가스 생성을 유발하고 복부 팽만, 설사 등의 소화 문제를 유발할 수 있으니 소량만 섭취해 주세요.",,,,최종,프로덕트 웰다
179,영양성분표와 원재료명,"#부작용이 큰 감미료
#피해야 할 감미료 
#비추천 대체당 ","부작용이 큰 대체당을 알려드릴게요. 가끔 단 음식이 먹고 싶다면 부작용이 적은 대체당을 선택하여 적정량만을 섭취해 주세요.

✔ 부작용이 큰 감미료
⬡ 말티톨
⬡ 사카린
⬡ 수크랄로스
⬡ 아세설팜칼륨
⬡ 아스파탐
⬡ 자일리톨",,,,최종,프로덕트 웰다
180,"영양성분표와 원재료명
추천 식품","#자연식품 
#가공식품 
#초가공식품","식품은 간단하게 자연식품, 가공식품, 초가공식품으로 분류할 수 있어요.

⬡ 자연식품: 자연 그대로의 음식
⬡ 가공식품: 자연식품에 조리, 보존, 맛 향상을 위해 간단한 과정으로 가공되는 음식
⬡ 초가공식품: 자연에서는 볼 수 없는 여러 가지 성분을 복합적으로 사용하여 공업적 가공 과정을 거쳐 만들어지는 음식

✔자연식품을 제외한 식품들은 영양정보와 원재료를 표시하게 되어있어요. 따라서 자연식품을 제외한 식품들을 섭취할 때는 영양정보와 원재료를 확인하고 섭취해 주세요.",,,,최종,프로덕트 웰다
181,추천 식품,"#좋은 지방 
#좋은 지방 리스트
#추천 지방
#기름 선택 주의사항","✔좋은 지방 리스트!
⬡ 아보카도유
⬡ 올리브유
⬡  MCT 오일
⬡  마카다미아 오일
⬡  버터
⬡  들기름
⬡  달걀 노른자
⬡  견과류
⬡  생선
⬡  유기농, 목초 동물의 고기
⬡  유기농 목초 동물의 유제품

✔주의사항
좋은 지방이라도 가공된 지방은 우리 몸에 악영향을 줄 수 있어요. 좋은 지방 선택 시 가공이 적은(저온 압착 오일)을 선택하는 것이 좋습니다.  ",,,,최종,프로덕트 웰다
182,추천 식품,"#추천 소스 리스트
#추천 드레싱 리스트 
#혈당을 올리지 않는 소스","음식의 성분이 탄수화물이 아니어도, 양념과 소스만으로도 혈당이 상승할 수 있어요. 웰다가 추천하는 소스를 알려드릴게요!

✔추천 소스 리스트!
⬡ 들기름
⬡ 참기름
⬡ 올리브오일
⬡ 아보카도오일
⬡ 허브버터
⬡ 레몬즙
⬡ 식초
⬡ 샤워크림소스
⬡ 무당 요거트
⬡ 마요네즈
⬡ 무당 케찹
⬡ 무당 머스타드
⬡ 홀그레인 머스타드
⬡ 바질 페스토
⬡ 와사비
⬡ 스리라차소스
⬡ 타바스코소스
⬡ 과카몰리소스
⬡ 땅콩버터
⬡ 카카오파우더

제품에 따라 함량의 차이가 있을 수 있으니 영양성분표와 원재료를 확인하여 선택해 주세요.",,,,최종,프로덕트 웰다
183,추천 식품,"#추천 향신료
#추천 허브 리스트 ","허브와 향신료를 적절하게 사용하면 맛과 풍미를 늘려줘요. 웰다가 추천하는 허브와 향신료를 알려드릴게요~!

✔허브 및 향신료 추천 리스트
⬡ 강황
⬡ 고수
⬡ 고춧가루
⬡ 넛맥
⬡ 레몬그라스
⬡ 로즈마리
⬡ 바질
⬡ 생강
⬡ 시나몬
⬡ 쑥
⬡ 애플민트
⬡ 오레가노
⬡ 월계수
⬡ 커민
⬡ 타임
⬡ 파슬리
⬡ 후추 ",,,,최종,프로덕트 웰다
184,추천 식품,"#추천 과일 리스트
#혈당 영향 적은 과일
#베리류","일반적으로 베리류의 과일이 혈당에 영향이 적고, 열대과일이 혈당에 영향을 많이 줄 수 있어요. 과일을 먹어야 한다면, 혈당에 영향이 적은 과일을 선택하여 섭취해 주세요!

✔추천 과일 리스트!
⬡ 레몬
⬡ 라임
⬡ 라즈베리
⬡ 블랙베리
⬡ 크랜베리
⬡ 딸기
⬡ 블루베리
⬡ 아사이베리
⬡ 토마토
⬡ 아보카도",,,,최종,프로덕트 웰다
