번호,"﻿분류",키워드,답변,이미지,변환 이미지,레퍼런스,제작 진행 현황,Last edited by
185,추천 식품,"#과일 섭취 주의사항 
#과일 섭취 주의 
#스무디 
#주스 
#건과일","과일은 원래 형태를 잃어버릴수록 혈당에 영향을 많이 줄 수 있어요.

과일을 생으로 먹는 것이 아닌 스무디나 주스 형태로 먹으면 식이섬유가 파괴되고 흡수 속도가 빨라져 혈당을 급격하게 상승시킬 수 있어요. 또한, 건과일은 수분이 증발된 형태로 소량만 먹어도 과량의 당을 섭취하게 되어 혈당에 영향을 줄 수 있어요.

과일을 먹어야 한다면 혈당에 영향이 적은 과일로 선택하고, 원래 형태를 보존하여 섭취해 주세요.",,,,최종,프로덕트 웰다
186,추천 식품,#추천 간식 리스트,"웰다가 추천하는 간식을 알려드릴게요! 

✔추천 간식 리스트!

⬡ 달걀, 메추리알
⬡ 치즈
⬡ 편육
⬡ 그릭요거트
⬡ 아보카도
⬡ 올리브
⬡ 견과류(브라질너트, 피칸, 마카다미아 등)
⬡ 채소스틱(샐러리, 오이, 파프리카, 당근 등)
⬡ 베리류(라즈베리, 블랙베리, 딸기, 블루베리 등)
⬡ 다크초콜릿(85% 이상)
⬡ 조미되지 않은 육포, 어포, 오징어 등 
⬡ 닭가슴살 스틱, 베이컨
⬡ 참치캔",,,,최종,프로덕트 웰다
187,추천 식품,"#간헐적 단식 중 먹을 수 있는 음료 
#단식을 깨지 않는 음료","✔단식 중 먹을 수 있는 음료

⬡ 물
⬡ 탄산수
⬡ 아메리카노
⬡ 허브차
⬡ 보리차
⬡ 녹차
⬡ MCT 오일",,,,최종,프로덕트 웰다
188,추천 식품,"#카페에서 마실 수 있는 음료
#카페 추천 음료
#추천 음료 리스트 ","웰다가 추천하는 카페 추천 음료 알려드릴게요! 

✔카페 추천 음료 리스트!
-커피류(시럽 무첨가)
⬡ 아메리카노
⬡ 디카페인 아메리카노
⬡ 에스프레소
⬡ 카페라떼
⬡ 카푸치노
⬡ 소이라떼
⬡ 콜드브루
⬡ 콜드브루라떼
⬡ 아몬드브리즈라떼
⬡ 오트라떼

-차류
⬡ 페퍼민트티
⬡ 얼그레이티
⬡ 유스베리티
⬡ 루이보스티
⬡ 잉글리쉬 브렉퍼스트티
⬡ 녹차
⬡ 캐모마일티
⬡ 히비스커스티

✔카페 주의사항
에이드, 프라페, 바닐라 라떼, 카라멜 마키아또, 카페 모카, 스무디, 과일 주스 같은 달달한 음료는 혈당 스파이크를 발생시킬 수 있으니 주의해 주세요.",,,,최종,프로덕트 웰다
189,추천 식품,"#식사 대용 단백질 보충제 
#단백질 쉐이크
#단백질 보충 
#단백질 파우더","단백질 보충제는 식품으로 충분한 양의 단백질을 섭취하기 어려울 때 섭취하는 용도예요.

가능한 자연 그대로의 식품을 선택하여 섭취하는 것이 좋아요. 자연 그대로의 식품에는 우리가 필요로 하는 단백질 외에도 비타민과 미네랄 등 다양한 영양소가 함유되어 있어 우리 몸에 더욱 이로울 수 있어요.

따라서, 최대한 자연 그대로의 식품으로 단백질을 섭취하고, 불가피한 경우에만 단백질 보충제를 섭취해 주시는 것을 추천드려요. 단백질 보충제를 선택할 때는 꼭 영양성분표와 원재료를 확인해 주세요!",,,,최종,프로덕트 웰다
190,추천 식품,"#그릭요거트 버터 치즈 
#유제품 섭취 
#유제품 먹어도 되나요","그릭요거트를 포함한 유제품은 단백질과 천연 지방이 풍부하여 혈당에 영향이 적은 식품이에요. 따라서 웰다에서는 혈당에 영향이 적은 유제품 섭취를 추천드리고 있어요!

개인마다 유제품을 섭취할 수 있는 정도가 다를 수 있으니 개인의 상태를 고려하여 유제품을 섭취해 주세요.",,,,최종,프로덕트 웰다
191,추천 식품,"#마늘
#마늘 효과","마늘 자체의 혈당 조절 효과는 아직 연구가 진행중으로 명확한 결론은 없어요. 일부 연구에서 마늘 속의 알리신이라는 성분이 인슐린 저항성  개선하여 장기적으로 혈당 수준을 안정화 시키는데 도움을 준다는 결과가 나오고 있어요.

따라서 마늘은 개인 판단하에 필요시 섭취하시길 권장 드립니다.",,,,최종,프로덕트 웰다
192,건강기능식품,"#가르시니아
#가르시니아 효과","가르시니아 속 HCA는 체지방 감소에 도움을 준다고 알려져 있어요.

일반적으로 HCA는 지방 합성을 억제하여 체지방 생성을 줄이고, 지방 산화를 촉진하여 체지방 연소를 늘려준다고 해요. 하지만 가르시니아의 체지방 감소 원리와 효과에 대해 연구 결과가 일관되지 않고 혈당 기전과는 관계가 없어 웰다에서는 특별히 추천드리지는 않아요.

따라서 가르니시아는 개인 판단하에 필요시 섭취하시길 권장 드립니다.",,,,최종,프로덕트 웰다
193,건강기능식품,"#건강기능식품 선택 
#건기식 선택
#영양제 선택
#영양제 추천
#건기식 추천","건강기능식품 또는 영양제는 개인의 건강 상태와 필요성을 고려하여 자유롭게 선택해 주세요. 

다만, 일반적인 알약 형태의 영양제가 아닌 가공된 젤리류, 캔디류, 가루류, 스틱류의 영양제는 다량의 당류가 함유되어 있을 수 있으니 영양성분표 확인하여 선택해 주세요!",,,,최종,프로덕트 웰다
194,기타 건강 지식,"#운동 선수
#대회급 근육량 증량
#보디빌더 증량","근육 생성을 목표로 하는 운동선수급 또는 대회 출전급인 경우 근육 생성에 필요한 영양소를 충분히 공급해 주세요.

운동선수급 또는 대회 출전급인 경우, 근육을 생성하기 위해서는 규칙적으로 근육 운동을 하고 충분한 단백질(하루 1.2~2.0g/kg)을 섭취해 주세요. 또한 간헐적 단식이 끝나기 전, 성장호르몬이 많이 분비된 상태에서 운동을 하면 근육 성장이 촉진될 수 있어요. ",,,,최종,프로덕트 웰다
195,기타 건강 지식,"#마른 사람 증량 
#체중 증량 
#근육량 증량","건강하게 체중을 늘리기 위해서는 체지방량은 유지하고 근육량을 늘려주는 것이 좋아요.

근육량을 늘리기 위해서는 규칙적으로 근육 운동을 하고 근육 생성에 필요한 단백질(하루 1.2~1.5g/kg)을 충분히 섭취하는 것이 좋아요. 또한 간헐적 단식이 끝나기 전, 성장호르몬이 많이 분비된 상태에서 운동을 하면 근육 성장이 촉진될 수 있어요. ",,,,최종,프로덕트 웰다
196,기타 건강 지식,"#체중 증가 
#살쪘어요
#살찌는 이유
#체지방 증가
","체중은 다양한 이유로 증가할 수 있어요. 또한 체중이 증가했더라도 근육과 지방의 부피 차이로 바디핏은 다를 수 있어요. 따라서 체중이 아닌 바디핏을 확인하셔야 하며, 바디핏은 허리 사이즈나 체지방률로 확인할 수 있어요.

그동안 대사 유연성을 활성화 시키려는 노력을 했다면, 현재의 체중 증가는 일시적인 현상일 수 있어요. 만약, 꾸준히 노력을 했는데도 체중이 계속해서 증가한다면, 현재 상태와 생활 패턴에 대하여 조금 더 자세히 말씀해 주시면 도움드릴게요!",,,,최종,프로덕트 웰다
197,기타 건강 지식,"#허리둘레가 중요한 이유 
#체중보다 허리둘레
#눈바디 인바디","허리둘레는 건강한 다이어트를 통해 바디핏이 개선되었음을 쉽게 확인할 수 있는 지표예요.

체중이 같더라도 근육과 지방의 부피 차이로 바디핏이 달라질 수 있어요. 바디핏이 좋아졌다는 것은 허리 사이즈로 쉽게 확인할 수 있어요.

따라서 체중 감량보다는 허리둘레와 체지방률의 변화를 목표로 삼는 것을 권장드려요.",,,,최종,프로덕트 웰다
198,기타 건강 지식,"#체지방 감소 효과 개인차 
#체지방률 변화 개인차 
#근육 생성 개인차","체지방량과 근육량의 변화 시기는 개인의 건강 상태, 식습관, 운동 여부 등 여러 가지 요인에 따라 달라질 수 있어요.

아직 결과가 뚜렷하지 않더라도 꾸준히 건강한 식습관과 생활습관을 유지한다면 우리 몸의 변화가 서서히 나타날 거예요.",,,,최종,프로덕트 웰다
199,기타 건강 지식,"#위경련
#체기","위경련이나 체기가 있다면 일정 기간 음식을 섭취하지 않는 것이 도움이 될 수 있어요. 

증상이 있을 때는 미지근한 물을 드시고, 증상이 완화되면 따뜻하게 데운 혈당 스파이크를 일으키는 죽보다는 연두부, 달걀찜과 같은 부드러운 단백질 식품을 드시는 것을 추천드려요. 

증상이 완화되지 않는다면 의료진과 상담을 통해 적절한 조치를 취하는 것이 중요해요.",,,,최종,프로덕트 웰다
200,기타 건강 지식,"#수면 부족 
#숙면 
#잠 
#수면의 중요성","수면 부족은 다이어트 과정을 방해할 수 있어요!

짧은 수면 시간은 우리 몸의 스트레스 호르몬을 분비시켜 혈당을 상승시키고, 인슐린 저항성을 유발할 수 있어요. 또한 포만감을 조절하는 호르몬에 영향을 주어 배고픔과 허기짐을 더 많이 느끼게 될 수 있어요. 수면 시간이 부족하면, 다이어트 과정이 점점 힘들어 지는 것이에요.

따라서, 효과적인 다이어트를 위해 7시간 이상의 충분한 숙면을 취하는 것을 권장드려요.",,,,최종,프로덕트 웰다
201,기타 건강 지식,"#숙면 실천 팁
#수면 실천 ","숙면을 위한 실천 팁 알려드릴게요:)

✔숙면 실천 팁!

⬡ 빛이 들어오지 않는 어두운 곳에서 자기
⬡ 잘 때 헐렁한 옷 입기
⬡ 정해진 시간에 규칙적으로 자기
⬡ 아침에 일어나면 햇빛 보기
⬡ 침실의 온도 서늘하게 유지하기
⬡ 취침 1시간 전 스마트폰 사용 자제하기
⬡ 하루 1시간 정도 숨이 차는 운동하기
⬡ 수면 전 폭식이나 카페인 섭취 자제하기
⬡ 수면 전 스트레칭, 명상 실천하기",,,,최종,프로덕트 웰다
202,기타 건강 지식,"#허기짐 대처법 ","허기짐은 대부분 잠시 참으면 억제가 되지만, 식욕을 억제하기 힘들다면 아래의 행동을 실천해 보세요.

✔허기짐 대처법!
⬡ 허기가 질 때 허용되는 음료 마시기
- 물, 탄산수, 아메리카노, 차(보리차, 녹차, 허브차 등)을 마셔보세요.

⬡ 다른 행동에 집중하기
- 산책이나 음악 감상 등 다른 행동에 집중해 보세요.

⬡ 트리거 푸드 치우기
- 나를 유혹하는 음식을 눈앞에서 치우거나 접근하기 어려운 환경을 만들어 보세요.",,,,최종,프로덕트 웰다
203,사용방법,"#연속혈당측정기
#리브레","연속혈당측정기는 혈당의 흐름을 연속적으로 파악할 수 있는 기기에요.

연속혈당측정기를 팔에 부착하면 작은 혈당 센서가 연속적으로 혈당을 측정합니다. 연속혈당측정기를 사용하면 실시간으로 혈당 변화와 트렌드를 모니터링할 수 있어 행동교정과 혈당 조절에 더욱 효과적입니다.",,,,최종,프로덕트 웰다
204,사용방법,"#연속혈당측정기부착 
#리브레 부착 방법 ","연속혈당측정기 부착 방법을 안내드려요. 

① 팔의 후면, 어깨 삼각근 아래를 동봉된 알코올 솜으로 깨끗하게 닦아주세요.
② 삽입기구의 뚜껑을 돌려서 연 후, 평평하고 단단한 바닥에서 삽입기구와 센서 팩을 결합하세요. 
③ 소독한 부위에 직각으로 삽입기구를 대고, 힘껏 눌러주세요.

자세한 부착 방법은 영상을 참고하세요.",,,https://youtu.be/kwnPia02cEg?si=VhdlCgMwohFnyjGb,최종,프로덕트 웰다
205,사용방법,"#연속혈당측정기제거 
#리브레 제거","연속혈당측정기 제거 방법을 안내드려요. 

① 피부에 부착된 센서를 접착제 가장자리부터 천천히 벗겨냅니다. 
② 벗겨낼 때, 로션을 접착제 주변에 바르면 피부 자극을 줄일 수 있습니다.
③ 피부에 남은 접착제는 따뜻한 비눗물이나 알코올 솜으로 제거할 수 있습니다.",,,,최종,프로덕트 웰다
206,사용방법,"#연속혈당측정기폐기 
#리브레 폐기","한번 사용한 센서는 재사용할 수 없어요. 일반 쓰레기, 플라스틱으로 각각 폐기해 주세요.

센서 팩은 플라스틱으로 재활용 쓰레기로 폐기, 센서 삽입 기구 및 센서는 바늘이 튀어나오지 않게 딱딱한 종이에 싸서 일반 쓰레기로 폐기해 주세요.",,,,최종,프로덕트 웰다
207,사용방법,"#혈당 스캔방법 
#연속혈당측정기 스캔 방법 
#리브레 스캔 방법","⬡ Android
① 휴대전화의 NFC 기능을 켜세요.
② 프리스타일 리브레 앱을 실행한 후 휴대전화 뒷면의 NFC를 리브레 센서에 인식하세요. (NFC 칩이 내장 위치는 기종마다 상이)

⬡ iOS
① 프리스타일 리브레 앱을 실행하세요.
② 앱 화면에서 ‘스캔’버튼 선택 후 아이폰의 전면 상단부를 부착한 센서에 인식하세요.",,,,최종,프로덕트 웰다
208,사용방법,"#연속혈당측정기 스캔주기 
#리브레 스캔 주기
#혈당 확인 시간
#혈당 측정 시간 ","기상 후, 식사 전/후, 운동 전/후, 취침 전에 스캔하여, 평소 혈당을 확인하는 걸 추천해요 식사 전에는 음식 사진을 함께 찍어두세요.

연속혈당측정기 센서는 최대 8시간까지 데이터 저장이 가능하여 8시간을 초과하여 스캔하지 않을 경우 혈당 그래프가 끊길 수 있어요. 그래프가 끊기지 않도록 8시간마다 잊지 말고 스캔해주세요.",,,,최종,프로덕트 웰다
209,사용방법,"#식사메모입력
#식사 메모 입력 방법 
#식사 기록 방법","식사 기록 방법을 알려드릴게요.

① 앱 화면 하단 중앙 + 버튼 선택 후, 우측 2번째 식사🍴 아이콘을 선택하세요.
② 메뉴 검색 또는 사진을 등록하여 영양정보를 확인하세요.",,,,최종,프로덕트 웰다
210,사용방법,"#혈당유지율 
#혈당 유지율 
","혈당 유지율이란 혈당이 연속혈당측정기에서 측정한 공복 혈당 대비 적정 범위를 지키는 시간을 비율로 나타낸 것이에요. 

혈당 적정 범위는 혈당 그래프 내 보라색 영역에서 확인할 수 있으며 연속혈당측정기에서 추출한 공복 혈당 값을 기준으로 설정되어요.

혈당 유지율이 높다는 것은 혈당 스파이크와 혈당 변동성이 적다는 것이며 반대로 혈당 유지율이 낮다는 것은 혈당 스파이크와 혈당 변동성이 잦다는 것을 의미해요.
*공복 혈당 산출을 위해 연속혈당측정기 부착 1일 차에는 혈당 유지율이 반영되지 않습니다.",,,,최종,프로덕트 웰다
211,사용방법,"#개인정보 변경 수정
#이메일 변경
#가입전화번호 변경 
#전화번호 변경","홈> 내 정보 > 설정 페이지에서 변경 가능합니다. 
단, 전화번호(휴대폰 번호), 이름, 생년월일, 이메일 변경은 웰다 카카오톡 채널로 문의하세요. 

⬡ 내 정보 변경(설정 페이지 이동)
① 웰다 홈 우측 상단 사람 아이콘(👤) 선택 
② 내 정보 페이지 우측 상단 설정 아이콘(⚙️) 선택

⬡ 개인정보 변경 문의 
- 웰다 카카오톡 채널 
http://pf.kakao.com/_xorTRG",,,,최종,프로덕트 웰다
212,사용방법,"#혈당그래프 끊긴이유 
#끊긴 이유",연속혈당측정기 센서는 최대 8시간까지 데이터 저장이 가능하여 8시간을 초과하여 스캔하지 않을 경우 혈당 그래프가 끊길 수 있어요. 그래프가 끊기지 않도록 8시간마다 잊지 말고 스캔해 주세요.,,,,최종,프로덕트 웰다
213,사용방법,"#채혈 연속혈당측정기 혈당 차이 
#혈당 차이","연속혈당측정기는 손가락 채혈보다 5~10분 정도 지연된 혈당 값을 제공해요. 평소에는 혈당 수치가 비슷하지만 식사 또는 운동 이후 혈당 수치의 급격한 변동이 있을 때는 혈당 수치에 큰 차이가 나타날 수 있습니다.

연속혈당측정기는 정확한 혈당 수치를 진단하는 목적으로 사용하는 것보다는 혈당의 변화 추세를 보는 목적으로 사용해야 합니다. 연속혈당측정기를 사용하면 전체적인 혈당 변화와 트렌드를 모니터링하고 관리할 수 있어 행동교정과 혈당 조절에 더욱 효과적이에요. 

연속혈당측정기의 정확도가 궁금하시다면 혈당이 변하지 않는 공복일 때 채혈 수치와 비교해 보시는 것을 권해드립니다.",,,https://www.youtube.com/watch?v=-xcaEmsmESc,최종,프로덕트 웰다
214,사용방법,"#측정값 오차 
#리브레 오차 이유 
#연속혈당측정기 오차 이유","보통, 아래와 같은 경우에 혈당 측정값이 정확하지 않을 수 있어요. 

⬡ 연속혈당 측정기 부착 후 2일 이내 
⬡ 온도나 습도가 높은 곳에 장시간 머무는 경우 
⬡ 연속혈당측정기가 근육에 가깝게 부착된 경우 
⬡ MRI/CT/고주파/열/초음파에 노출된 경우 
⬡ 수심이 깊은 곳에 장시간 있는 경우 
⬡ 고용량 비타민C 를 복용 또는 주사한 경우

특히 연속혈당측정기 부착 후 통증이 느껴진다면 웰다 카카오톡 채널로 문의하세요. ",,,,최종,프로덕트 웰다
215,사용방법," #연속혈당측정기 저혈당 
#리브레 저혈당 
#70mg/dL이하 
#야간 저혈당","앱에서 혈당이 70mg/dL 이하일 때 저혈당으로 빨갛게 표시되지만, 사실 60mg/dL의 혈당도 건강한 혈당 범위에 속해요. 

또한, 연속혈당측정기는 실제 혈당 수치와 일부 차이가 있을 수 있어요. 실제로 저혈당증이 발생하면 어지럼증, 식은 땀, 오한, 떨림 등의 증상이 나타나요. 따라서 저혈당 증상을 느끼지 않으신다면 크게 걱정하지 않으셔도 됩니다.",,,,최종,프로덕트 웰다
216,사용방법,"#연속혈당측정기 사용 적정 온도 
#연속혈당측정기 사용온도","연속혈당측정기는 10~45 ° C에서 작동해요.  

연속혈당측정기 내부 센서의 온도가 범위를 벗어나면 혈당 측정에 오류가 발생할 수 있어요. 따라서 정확한 혈당 측정을 위해 적정 온도 범위 내에서 사용해 주세요.",,,,최종,프로덕트 웰다
217,사용방법,"#연속혈당측정기 온도 하락  
#연속혈당측정기 추위","연속혈당측정기 센서의 온도가 하락하면 혈당 측정에 오류가 발생할 수 있어요. 몇 분 뒤 온도가 안정화되면 정상 혈당 측정이 가능하니, 몇 분 뒤 다시 시도해 주세요.",,,,최종,프로덕트 웰다
218,사용방법,"#연속혈당측정기 고온 
#혈당 고온
#연속혈당측정기 온도 상승","연속혈당측정기 센서의 온도가 상승하면 혈당 측정에 오류가 발생할 수 있어요. 몇 분 뒤 온도가 안정화되면 정상 혈당 측정이 가능하니, 몇 분 뒤 다시 시도해 주세요.",,,,최종,프로덕트 웰다
219,사용방법,"#연속혈당측정기 작동 안함 
#작동 불가 ","연속혈당측정기 센서는 2주간 작동하는 기기입니다. 2주 전에 ‘센서가 작동하지 않습니다.’라는 알림이 나타나면 센서를 보관하고, 웰다 카카오톡 채널로 문의해주세요. 확인 후 교환을 도와드리겠습니다.

[문의처]
⬡ 웰다 카카오톡 채널 http://pf.kakao.com/_xorTRG

[상담 시간 안내]
⬡ 평일 8:30-17:30 (점심시간 12:00-13:00)
⬡ 토요일, 일요일, 공휴일 휴무

[상담 시 필요한 정보]
⬡ 구입 및 오류 발생시기
⬡ 오류 센서 시리얼 넘버 (오류센서 보관 필수, 교환/환불 시 회수 처리함)
⬡ 오류 상황 및 오류 문구 캡쳐본
* 웰다 카카오톡 채널 상담 후, 최종 교환/환불 여부가 결정되며, 고객 부주의로 인한 훼손 또는 회수할 센서가 없거나 센서 시리얼 넘버가 확인되지 않을 경우, 교환/환불이 어렵습니다.",,,,최종,프로덕트 웰다
220,사용방법,"#연속혈당측정기 10분 스캐닝 
#다시 스캐닝 
#다시 스캔","‘10분 후 다시 스캐닝하십시오’라는 알림이 나타나면 보통 1-2시간 후 다시 측정할 경우 문제 없이 작동하게 됩니다. 

만약, 6시간 후에도 문제가 반복된다면 웰다 카카오톡 채널로 문의해주세요.

[문의처]
⬡ 웰다 카카오톡 채널 http://pf.kakao.com/_xorTRG

[상담 시간 안내]
⬡ 평일 8:30-17:30 (점심시간 12:00-13:00)
⬡ 토요일, 일요일, 공휴일 휴무",,,,최종,프로덕트 웰다
221,사용방법,"#연속혈당측정기 고객센터 필요 정보 
#리브레 오류 필요 정보","[상담 시 필요한 정보]
⬡ 구입 및 오류 발생시기
⬡ 오류 센서 시리얼 넘버 (오류센서 보관 필수, 교환/환불 시 회수 처리함)
⬡ 오류 상황 및 오류 문구 캡쳐본
* 웰다 카카오톡 채널 상담 후, 최종 교환/환불 여부가 결정되며, 고객 부주의로 인한 훼손 또는 회수할 센서가 없거나 센서 시리얼 넘버가 확인되지 않을 경우, 교환/환불이 어렵습니다.",,,,최종,프로덕트 웰다
222,사용방법,"#연속혈당측정기 부착 통증 
#통증 대처","센서(연속혈당측정기) 부착 시 필라멘트를 피부에 삽입하지만 통증이 거의 없고, 일상생활에 지장을 주지 않는 안전한 기기에요. 다만, 센서 부착 후 통증이 느껴진다면 아래와 같은 이유가 있을 수 있어요.

① 센서의 필라멘트가 근육에 장착된 경우
② 센서 삽입 중 잘못된 방향으로 부착
③ 부착 후 필라멘트 팁이 구부러 지거나, 피부 표면에 정면으로 통과되지 않았을 경우 

만약, 통증이 1~2일 이상 지속되고 일상생활을 하기 힘들 정도의 증상이라면, 센서를 제거한 후 새로운 센서를 부착해야 할 수 있어요. 통증으로 인해 새 센서로 교체가 필요한 경우에는 웰다 스토어에서 별도로 센서만 구매할 수 있으니 참고 부탁드려요.",,,,최종,프로덕트 웰다
223,사용방법,"#연속혈당측정기 부착 활동 
#MRI CT X-ray 
#사우나 수영
#항공기 비행기","목욕, 샤워, 수영 중 착용할 수 있으나 1m 이상 들어가거나, 물에 30분 이상 담가 놓지 않는 것을 추천드려요.
일반적으로 연속혈당측정기 부착 후 비행기, 항공기 탑승 가능하나, 공항의 보안 기준에 따라 다를 수 있습니다.

MRI, CT, X-ray 등 방사선 검사나 강한 자기장에 노출되는 경우 연속혈당측정기를 제거해야 합니다.",,,,최종,프로덕트 웰다
224,사용방법,"#연속혈당측정기 유지 주의 
#연속혈당측정기 주의 
#리브레 착용 주의사
#탈착 예방","✔연속혈당측정기 사용 주의사항!

① 센서 부착 부위가 문, 옷, 가구 모서리 등에 걸려 떨어지지 않도록 주의해 주세요.

② 샤워 또는 수영 후, 수건으로 부착된 센서를 감싸거나 잡아당기지 않도록 주의해 주세요.

③ 옷을 입고 벗을 때 옷에 걸려 부착된 센서가 떨어지지 않도록 주의해 주세요.

④센서를 부착한 상태에서 부착 부위를 손으로 만지거나, 밀거나 당기지 않도록 주의해 주세요.

⑤ 격렬한 운동 시 탈착을 예방하기 위해 패치 사용을 고려해 주세요.",,,,최종,프로덕트 웰다
225,사용방법,"#허리둘레 측정 
#허리사이즈 측정 
#허리 측정","✔허리 사이즈 측정 방법

① 바른 자세로 서서 편안하게 숨을 내쉬어 보세요.
② 거울을 보며, 배꼽 라인을 타고 지면과 수평하게 줄자로 허리를 둘러주세요.
*이 때, 맨살에 하며 줄자를 당기지 않도록 해요.",,,,최종,프로덕트 웰다
226,사용방법,"#리브레 앱 연결방법 
#리브레앱연결 
#리브레 연결
#리브레 병원 ID","앱 'FreeStyle LibreLink' 다운로드 후, 로그인한 뒤, 메뉴에서 연결된 앱 → 관리 → 병원에 연결 → 병원 ID: weldalab를 입력해 주세요. 병원 확인 하단에 '웰다' 라고 나타나면, 연결이 완료됩니다. 

앱 'FreeStyle LibreLink'는 처음 연결할 때, 단 한 번만 필요합니다. 간단한 초기 설정으로 후에는 별도의 과정 없이 데이터가 웰다 앱에 자동으로 기록됩니다.",,,,최종,프로덕트 웰다
227,사용방법,"#고객센터
#고객센터 운영시간
#고객센터 응답시간","[고객센터]
⬡ 웰다 카카오톡 채널 http://pf.kakao.com/_xorTRG

[상담 시간 안내]
⬡ 평일 8:30-17:30, 순차답변 (점심시간 12:00-13:00)
⬡ 토요일, 일요일, 공휴일 휴무",,,,최종,프로덕트 웰다
228,사용방법,"#연속혈당측정기 센서 오류
#혈당 값 편차 오류","연속혈당측정기 센서의 오류로 혈당 값 편차가 발생한 경우, 리브레 교환이 가능합니다.
교환을 위해서 혈당 값 편차에 대한 비교 수집 값(편차 +- 20% 이상)이 필요해요. 아래의 내용을 확인하여 웰다 카카오톡 채널로 문의해주세요.

⬡ 교환 요청 기간: 1~2일 적응 기간 이후부터 12일 이내 
⬡ 혈당 채혈기(BGM)를 먼저 측정하고, 10분 뒤에 연속혈당측정기 센서의 혈당값과 비교.(채혈기 혈당값 > 10분 뒤 > 센서 혈당값) 
⬡ 식사와 운동을 하지 않은 상황에서 아침 공복, 식전, 식후 3~4시간(공복)에 측정 확인된 혈당값과 비교. 
⬡ 같은 날 동일 시간대 최소 3개의 비교 혈당값이 필요.",,,,최종,프로덕트 웰다
229,사용방법,"#연속혈당측정기 추가 결제 
#반품 교환 추가 결제 팝업","반품/교환 접수 시, ‘추가 결제가 발생하는 반품은 신청할 수 없습니다’ 라는 팝업이 뜬다면, 웰다 카카오톡 고객센터로 문의해 주세요.

[문의처]
⬡ 웰다 카카오톡 채널 http://pf.kakao.com/_xorTRG

[상담 시간 안내]
⬡ 평일 8:30-17:30 (점심시간 12:00-13:00)
⬡ 토요일, 일요일, 공휴일 휴무",,,,최종,프로덕트 웰다
230,사용방법,"#알림 설정 
#필요한 알림 
#알림 끄기","홈>내 정보 페이지에서 설정 변경이 가능해요.

[알림 설정 변경]
⬡ 웰다 홈 우측 상단 사람 아이콘(👤) 선택 
⬡ 내 정보 하단에서 두번째 메뉴, [알림설정] 선택
⬡ 알림 설정 메뉴에서 알림 종류별 on/off 가능",,,,최종,프로덕트 웰다
231,사용방법,"#웰다 탈퇴 #회원 탈퇴 ","홈> 내 정보> 설정> 계정관리> 로그아웃/회원탈퇴 팝업에서 회원탈퇴 선택 가능합니다.

[회원 탈퇴 방법]
⬡ 웰다 홈 우측 상단 사람 아이콘(👤) 선택
⬡ 내 정보 페이지 우측 상단 설정 아이콘(⚙️) 선택
⬡ 하단 2번째 메뉴, [계정 관리] 선택
⬡ 팝업에서 [회원탈퇴] 항목 선택
⬡ 알림 팝업에서 [회원 탈퇴] 버튼 선택",,,,최종,프로덕트 웰다
232,사용방법,"#연속혈당측정기 샤워 운동 #센서 패치 ","연속혈당측정기 부착 후 샤워나 운동을 해도 괜찮아요.

다만, 격렬한 운동을 할 때에는 센서가 외부 충격으로 떨어질 수 있으니 주의해 주세요. 그리고 샤워 후 센서의 물기를 닦을 때와 옷을 입고 벗을 때도 부착된 센서가 떨어지지 않도록 조심해 주세요.

⬡ TIP!
웰다 센서 패치를 사용하여 센서가 떨어지지 않도록 안전하게 고정시킬 수 있어요.",,,,최종,프로덕트 웰다
233,사용방법,"#연속혈당측정기 센서 교환 
#A/S 
#재사용","몸에 붙인 센서(연속혈당측정기)는 한 번 떨어지면 재사용할 수 없어요.
따라서 새로운 센서로 교체해야 하는데요.

센서 오류일 경우에는 웰다에서 새 제품으로 교환해드리고 있어요.

단, 센서 오류는 웰다 카카오톡 상담 후 확인하여 확정되므로, 센서를 임의로 떼거나 폐기하지 말고 꼭 먼저 웰다 카카오톡으로 문의하세요.",,,,최종,프로덕트 웰다
234,"사용방법 ","#연속혈당측정기 피 
#리브레 출혈 
#리브레 멍","센서(연속혈당측정기) 부착 시, 약간의 멍 또는 일시적인 출혈이 발생할 수 있어요.

출혈이 계속해서 멈추지 않을 경우라면, 센서를 제거한 후 새로운 센서를 부착해야 할 수 있어요. 출혈로 인해 새 센서로 교체가 필요한 경우에는 웰다 스토어에서 별도로 센서만 구매할 수 있으니 참고 부탁드려요.",,,,최종,프로덕트 웰다
235,"사용방법 ","#연속혈당측정기 다른 부위 
#부착 부위","연속혈당측정기는 양쪽 팔의 상완에 부착이 가능해요.

팔을 앞으로 쭉 뻗어서, 팔의 후면 어깨 삼각근 아래에 중력으로 처지는 살 부위에 부착해 주세요.양쪽 팔 상완 외의 부위에는 부착을 권장드리지 않습니다.",,,,최종,프로덕트 웰다